Title,Description,Category, SKU,Duration (min),Specialist Grade,Price,Salon 1 — (Premium),Salon 2 — (Premium),Salon 3 — (Mid),Salon 3 — (Budget)
Haircut,"Professional haircut: consultation, wash with premium products, precision cut tailored to face shape and hair texture, finishing.",Hair/Haircut,hh01,60,Senior Stylist,260,260,260,200,140
Bang Trim,Quick fringe trim and shaping between full haircuts. Light styling included.,Hair/Haircut,hh02,20,Stylist,80,80,80,60,40
Haircut & Blow Dry,Full haircut combined with professional blow-dry styling for a complete polished look.,Hair/Haircut,hh03,90,Stylist,370,370,370,280,200
Root Touch-Up,"Color application on regrowth area only (up to 2 cm). Includes wash, treatment mask, blow-dry.",Hair/Coloring,hc01,90,Senior Stylist,340,340,340,260,190
Full Coloring,"Single-process color from roots to ends. Consultation, color application, treatment, wash, blow-dry.",Hair/Coloring,hc02,150,Senior Stylist,550,550,550,410,300
Highlights,Classic foil highlights for dimension and brightness. Price varies by length (half/full head).,Hair/Coloring, hc03,180,Top Stylist,750,750,750,560,410
Balayage,Hand-painted freehand lightening technique for a natural sun-kissed effect with soft regrowth.,Hair/Coloring, hc04,210,Top Stylist,980,980,980,Not available,Not available
Airtouch,"Modern coloring technique using a hairdryer to separate strands, creating a soft seamless blend.",Hair/Coloring,hc05,240,Top Stylist,1 100,1 100,1 100,Not available,Not available
Global Blonde,Full lightening service for uniform blonde shade. Olaplex bond protection included.,Hair/Coloring,hc06,240,Top Stylist,1 250,1 250,1 250,Not available,Not available
Toner / Gloss,"Demi-permanent toner to refresh color, neutralize unwanted tones, add shine.",Hair/Coloring, hc07,45,Senior Stylist,210,210,210,160,120
Blowout,"Professional blow-dry with round brush. Wash, heat protection, finishing products included.",Hair/Styling,hs01,45,Stylist,180,180,180,140,100
Curls / Waves,Heat styling with curling iron or wand to create defined curls or soft Hollywood waves.,Hair/Styling,hs02,60,Senior Stylist,260,260,260,200,140
Evening Hairstyle,"Elegant updo or styled look for special occasions, dinners or events. Accessories included.",Hair/Styling, hs03,75,Top Stylist,420,420,420,320,230
Bridal Hairstyle,"Personalized bridal hair design with trial session, accessories placement and all-day hold.",Hair/Styling, hs04,120,Top Stylist,950,950,950,not available,520
Updo,Classic or modern updo for events. Consultation and finishing spray included.,Hair/Styling,hs05,60,Senior Stylist,320,320,320,240,180
Keratin Treatment,Smoothing treatment that reduces frizz and adds shine. Lasts up to 4 months. Wash and styling included.,Hair/Hair Care,hca01,180,Top Stylist,1 000,1 000,1 000,not available,Not available
Hair Filler (Deep Repair),Intensive restoration for damaged hair using protein and amino acid complex.,Hair/Hair Care,hca02,90,Senior Stylist,520,520,520,390,290
Scalp Treatment,"Targeted scalp therapy with massage, exfoliation and serum application.",Hair/Hair Care, hca03,45,Senior Stylist,260,260,260,200,140
Hair Spa Ritual,"Relaxing hair treatment with deep conditioning mask, scalp massage and aromatherapy.",Hair/Hair Care, hca04,60,Senior Stylist,330,330,330,250,180
Hair Loss Treatment,Course-based program targeting hair loss using mesotherapy-style serums and LED stimulation.,Hair/Hair Care, hca05,75,Senior Stylist,450,450,450,340,250
Brow Shaping (Wax/Threading),Precise brow design using wax or threading technique. Consultation and aftercare included.,Face/Brows & Lashes,fbl01,30,Master Therapist,110,110,110,80,60
Brow Tint / Henna Brows,Brow tinting with professional dye or henna for long-lasting natural-looking color.,Face/Brows & Lashes,fbl02,30,Master Therapist,130,130,130,100,70
Brow Lamination,"Brow lifting and setting treatment for full, brushed-up appearance lasting 6-8 weeks.",Face/Brows & Lashes,fbl03,45,Master Therapist,260,260,260,200,140
Lash Lift & Tint,Lash lifting with tinting for naturally curled and darker lashes lasting up to 8 weeks.,Face/Brows & Lashes,fbl04,60,Master Therapist,260,260,260,200,140
Lash Extensions — Classic,One-by-one application of synthetic lashes for natural lengthening effect.,Face/Brows & Lashes,fbl05,90,Master Therapist,380,380,380,280,210
Lash Extensions — Volume,"Hand-made fan technique for fuller, denser lash look (2D-5D fans).",Face/Brows & Lashes,fbl06,120,Master Therapist,520,520,520,390,290
Lash Extensions — Mega Volume,Ultra-dense lash design with 6D+ fans for dramatic effect.,Face/Brows & Lashes,fbl07,150,Master Therapist,700,700,700,520,390
Day Makeup,"Light natural makeup suitable for daytime events, business meetings or photo sessions.",Face/Makeup,fm01,45,Master Therapist,290,290,290,220,160
Evening Makeup,"Glamorous evening look with smoky eyes, contouring and long-lasting finish.",Face/Makeup,fm02,60,Makeup Specialist,450,450,450,340,250
Bridal Makeup,"Bridal makeup with skin prep, trial session and on-the-day application. Long-wear formula.",Face/Makeup,fm03,90,Makeup Specialist,1 000,1 000,1 000,750,550
Makeup Lesson,Personal makeup tutorial: client learns to apply makeup on themselves under expert guidance.,Face/Makeup,fm04,90,Makeup Specialist,520,520,520,390,290
Express Facial,"Quick refreshing facial: cleansing, light exfoliation, mask and moisturizer. Ideal during lunch break.",Face/Facials,ff01,30,Master Therapist,260,260,260,200,140
Deep Cleansing Facial,"Thorough cleansing with extractions, steam, exfoliation and purifying mask for oily/congested skin.",Face/Facials,ff02,60,Master Therapist,450,450,450,340,250
Hydrating Facial,Moisture-restoring facial with hyaluronic acid serums and nourishing mask for dehydrated skin.,Face/Facials,ff03,60,Master Therapist,490,490,490,370,270
Anti-Aging Facial,"Advanced facial with peptide complex, lifting massage and firming mask to reduce fine lines.",Face/Facials,ff04,75,Master Therapist,640,640,640,480,350
Brightening Facial,Targeted facial for hyperpigmentation and uneven tone using vitamin C and brightening agents.,Face/Facials,ff05,75,Master Therapist,600,600,600,450,330
Chemical Peel — Glycolic,"Superficial AHA peel to improve texture, brightness and minor pigmentation. Course recommended.",Face/Aesthetic Treatments,fat01,45,Master Therapist,550,550,550,410,300
Chemical Peel — Salicylic,BHA peel for oily and acne-prone skin. Reduces blackheads and inflammation.,Face/Aesthetic Treatments,fat02,45,Master Therapist,550,550,550,410,300
Chemical Peel — Mandelic,Gentle peel suitable for sensitive skin and darker skin tones. Brightens without irritation.,Face/Aesthetic Treatments,fat03,45,Master Therapist,600,600,600,450,330
Microneedling,"Collagen-induction therapy with sterile needles. Improves texture, scars and fine lines.",Face/Aesthetic Treatments,fat04,75,Master Therapist,980,980,980,Not available,Not available
RF Lifting,Radiofrequency treatment to tighten skin and stimulate collagen. Non-invasive.,Face/Aesthetic Treatments,fat05,60,Master Therapist,870,870,870,650,480
HIFU,High-intensity focused ultrasound for deep facial lifting effect. Results in 4-8 weeks.,Face/Aesthetic Treatments,fat06,90,Master Therapist,1 750,1 750,1 750,Not available,Not available
LED Therapy,"Light therapy with red/blue/near-infrared LEDs for anti-aging, acne and inflammation.",Face/Aesthetic Treatments,fat07,30,Master Therapist,320,320,320,240,180
Mesotherapy (No-Needle),Active ingredient delivery via electroporation. No needles. Hydration and brightening focus.,Face/Aesthetic Treatments,fat08,60,Master Therapist,790,790,790,590,430
Relax Massage,Gentle full-body massage with aromatic oils to relieve tension and stress.,Body/Massage,bm01,60,Master Therapist,380,380,380,280,210
Deep Tissue Massage,Firm-pressure massage targeting muscle knots and chronic tension.,Body/Massage,bm02,60,Master Therapist,450,450,450,340,250
Anti-Cellulite Massage,Vigorous massage with anti-cellulite oils to improve circulation and skin texture.,Body/Massage,bm03,60,Master Therapist,450,450,450,340,250
Hot Stone Massage,Relaxing massage with warmed basalt stones to release deep muscle tension.,Body/Massage,bm04,75,Master Therapist,560,560,560,420,310
Lymphatic Drainage,Gentle rhythmic technique to stimulate lymphatic flow and reduce water retention.,Body/Massage,bm05,60,Master Therapist,490,490,490,370,270
Moroccan Bath,Traditional black soap cleansing followed by Kessa glove exfoliation and rhassoul clay mask.,Body/Hammam & Rituals,bh01,60,Master Therapist,450,450,450,340,250
